d,extra_prob,seed,r,2^d,max_abs_err,efficiency_err,verified
6,0.0,0,7,64,1.1102230246251565e-16,1.6653345369377348e-16,True
6,0.0,1,7,64,1.1102230246251565e-16,1.3877787807814457e-16,True
6,0.0,2,7,64,3.552713678800501e-15,0.0,True
6,0.0,3,7,64,1.6653345369377348e-16,1.1102230246251565e-16,True
6,0.15,0,22,64,4.440892098500626e-16,2.220446049250313e-16,True
6,0.15,1,14,64,5.551115123125783e-17,0.0,True
6,0.15,2,9,64,4.440892098500626e-16,1.7763568394002505e-15,True
6,0.15,3,18,64,8.881784197001252e-16,0.0,True
6,0.3,0,30,64,8.326672684688674e-17,0.0,True
6,0.3,1,14,64,5.551115123125783e-17,0.0,True
6,0.3,2,10,64,2.220446049250313e-16,0.0,True
6,0.3,3,23,64,1.7763568394002505e-15,1.7763568394002505e-15,True
7,0.0,0,8,128,6.106226635438361e-16,1.1102230246251565e-16,True
7,0.0,1,8,128,2.220446049250313e-16,0.0,True
7,0.0,2,8,128,6.661338147750939e-16,0.0,True
7,0.0,3,8,128,2.7755575615628914e-17,2.7755575615628914e-17,True
7,0.15,0,19,128,8.326672684688674e-17,0.0,True
7,0.15,1,16,128,1.1102230246251565e-16,2.220446049250313e-16,True
7,0.15,2,9,128,1.6653345369377348e-16,2.220446049250313e-16,True
7,0.15,3,36,128,4.440892098500626e-15,1.7763568394002505e-15,True
7,0.3,0,58,128,8.881784197001252e-16,4.440892098500626e-16,True
7,0.3,1,48,128,4.440892098500626e-16,0.0,True
7,0.3,2,30,128,1.1102230246251565e-16,0.0,True
7,0.3,3,44,128,4.440892098500626e-16,6.661338147750939e-16,True
8,0.0,0,9,256,3.552713678800501e-15,4.440892098500626e-16,True
8,0.0,1,9,256,1.3877787807814457e-16,0.0,True
8,0.0,2,9,256,5.551115123125783e-16,2.220446049250313e-16,True
8,0.0,3,9,256,1.1102230246251565e-16,1.6653345369377348e-16,True
8,0.15,0,18,256,8.881784197001252e-16,0.0,True
8,0.15,1,45,256,1.8041124150158794e-16,1.1796119636642288e-16,True
8,0.15,2,15,256,3.3306690738754696e-16,0.0,True
8,0.15,3,55,256,4.440892098500626e-16,4.440892098500626e-16,True
8,0.3,0,57,256,4.440892098500626e-15,8.881784197001252e-16,True
8,0.3,1,67,256,8.326672684688674e-17,1.6653345369377348e-16,True
8,0.3,2,49,256,4.440892098500626e-16,3.3306690738754696e-16,True
8,0.3,3,67,256,2.0816681711721685e-16,0.0,True
9,0.0,0,10,512,1.6653345369377348e-16,1.1102230246251565e-16,True
9,0.0,1,10,512,1.942890293094024e-16,1.3877787807814457e-16,True
9,0.0,2,10,512,1.1102230246251565e-16,1.1102230246251565e-16,True
9,0.0,3,10,512,1.5543122344752192e-15,2.220446049250313e-16,True
9,0.15,0,38,512,4.440892098500626e-16,2.220446049250313e-16,True
9,0.15,1,67,512,2.220446049250313e-16,2.220446049250313e-16,True
9,0.15,2,20,512,2.3314683517128287e-15,4.440892098500626e-16,True
9,0.15,3,53,512,1.1102230246251565e-15,6.661338147750939e-16,True
9,0.3,0,96,512,1.3322676295501878e-15,8.881784197001252e-16,True
9,0.3,1,131,512,4.163336342344337e-16,0.0,True
9,0.3,2,82,512,6.661338147750939e-16,2.7755575615628914e-16,True
9,0.3,3,122,512,4.884981308350689e-15,4.440892098500626e-16,True
10,0.0,0,11,1024,6.106226635438361e-16,1.1102230246251565e-16,True
10,0.0,1,11,1024,2.7755575615628914e-16,0.0,True
10,0.0,2,11,1024,1.6653345369377348e-15,5.551115123125783e-17,True
10,0.0,3,11,1024,1.5987211554602254e-14,8.881784197001252e-16,True
10,0.15,0,196,1024,7.549516567451064e-15,1.3322676295501878e-15,True
10,0.15,1,97,1024,1.4988010832439613e-15,0.0,True
10,0.15,2,44,1024,2.55351295663786e-15,3.0531133177191805e-16,True
10,0.15,3,75,1024,4.6629367034256575e-15,8.881784197001252e-16,True
10,0.3,0,450,1024,2.9976021664879227e-15,8.881784197001252e-16,True
10,0.3,1,294,1024,1.4988010832439613e-15,3.3306690738754696e-16,True
10,0.3,2,113,1024,2.4424906541753444e-15,8.881784197001252e-16,True
10,0.3,3,249,1024,1.2434497875801753e-14,2.3314683517128287e-15,True
