d,r,m,boundary_distinct,blind_distinct,boundary_err,blind_err,gap_orders
12,107,13,13,9,1.8575505638866925,2.8550843850242305,0.186678304394748
12,107,26,26,16,1.563267249987529,2.659481837607465,0.2307637991069563
12,107,53,53,16,0.24764409203343654,2.5311514424241017,1.0094901587815406
12,107,80,80,19,0.06567493197238738,2.0115617634287752,1.4861337401779107
12,107,107,107,23,7.544085643538203e-16,1.9627389120414127,15.415255922564784
12,107,214,107,29,7.544085643538203e-16,1.798735043291487,15.377360585700933
14,668,83,83,43,1.9353167693821174,5.575569897418863,0.459537204901954
14,668,167,167,60,1.1195068444460743,5.56626446791567,0.6965370838505298
14,668,334,334,103,0.4413816473842088,5.40280395109295,1.0878049375243821
14,668,501,501,130,0.1708224486053486,5.484478123508834,1.5065903656633222
14,668,668,668,151,3.7138578176504854e-15,5.424670990894963,15.164548130060888
14,668,1336,668,221,3.7138578176504854e-15,5.366678277878868,15.159880287868816
13,1913,239,239,122,1.6060918577074466,2.955006817919785,0.264788106850107
13,1913,478,478,225,1.1171332961117582,2.761015472698107,0.3929638442928566
13,1913,956,956,439,0.6652176651019648,2.4185983187700497,0.5605999730957746
13,1913,1434,1434,547,0.38665087573792645,2.1995974017797657,0.755024199847854
13,1913,1913,1913,700,2.0135342197896845e-14,2.005341401987369,13.998229305494075
13,1913,3826,1913,1052,2.0135342197896845e-14,1.5855543049488503,13.896222106332987
11,81,10,10,7,1.6084462242905753,1.6882948545874803,0.02104175130246872
11,81,20,20,14,1.4893847664242763,1.7037352095214728,0.05839519113581767
11,81,40,40,20,0.6797046927755533,1.6657832030744189,0.389298210200287
11,81,60,60,20,0.32801090643212377,1.4726848863848814,0.6522215455050105
11,81,81,81,28,4.446445162750826e-16,1.5096732181921053,15.530870010069162
11,81,162,81,43,4.446445162750826e-16,1.4735183165919012,15.520342598118676
